symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,107,1,1,1,2,1,1,1,88.60,168.80,64.10,48.80,2548,1,4,130,1,3.47,2.68,9.00,111,5000,21,27,13495
3,85,1,1,1,2,1,1,1,88.60,168.80,64.10,48.80,2548,1,4,130,1,3.47,2.68,9.00,111,5000,21,27,16500
1,148,1,1,1,2,2,1,1,94.50,171.20,65.50,52.40,2823,2,6,152,1,2.68,3.47,9.00,154,5000,19,26,16500
2,164,2,1,1,4,3,2,1,99.80,176.60,66.20,54.30,2337,3,4,109,1,3.19,3.40,10.00,102,5500,24,30,13950
2,164,2,1,1,4,3,3,1,99.40,176.60,66.40,54.30,2824,3,5,136,1,3.19,3.40,8.00,115,5500,18,22,17450
2,161,2,1,1,2,3,2,1,99.80,177.30,66.30,53.10,2507,3,5,136,1,3.19,3.40,8.50,110,5500,19,25,15250
1,158,2,1,1,4,3,2,1,105.80,192.70,71.40,55.70,2844,3,5,136,1,3.19,3.40,8.50,110,5500,19,25,17710
1,115,2,1,1,4,4,2,1,105.80,192.70,71.40,55.70,2954,3,5,136,1,3.19,3.40,8.50,110,5500,19,25,18920
1,158,2,1,2,4,3,2,1,105.80,192.70,71.40,55.90,3086,3,5,131,1,3.13,3.40,8.30,140,5500,17,20,23875
0,128,2,1,2,2,2,3,1,99.50,178.20,67.90,52.00,3053,3,5,131,1,3.13,3.40,7.00,160,5500,16,22,34184
2,192,3,1,1,2,3,1,1,101.20,176.80,64.80,54.30,2395,3,4,108,1,3.50,2.80,8.80,101,5800,23,29,16430
0,192,3,1,1,4,3,1,1,101.20,176.80,64.80,54.30,2395,3,4,108,1,3.50,2.80,8.80,101,5800,23,29,16925
0,188,3,1,1,2,3,1,1,101.20,176.80,64.80,54.30,2710,3,6,164,1,3.31,3.19,9.00,121,4250,21,28,20970
0,188,3,1,1,4,3,1,1,101.20,176.80,64.80,54.30,2765,3,6,164,1,3.31,3.19,9.00,121,4250,21,28,21105
1,161,3,1,1,4,3,1,1,103.50,189.00,66.90,55.70,3055,3,6,164,1,3.31,3.19,9.00,121,4250,20,25,24565
0,197,3,1,1,4,3,1,1,103.50,189.00,66.90,55.70,3230,3,6,209,1,3.62,3.39,8.00,182,5400,16,22,30760
